time_s,rx1,rx2
0.0,1.8681144391314232e-06,6.789232636924907e-13
5e-06,2.250598695060586e-06,8.627354588909196e-13
1e-05,2.7092258616676364e-06,1.0954364063498136e-12
1.5e-05,3.2587040994702824e-06,1.389790238891102e-12
2e-05,3.916491656649718e-06,1.7618296245439724e-12
2.5e-05,4.7032931528586475e-06,2.231675901338794e-12
3e-05,5.643641994700809e-06,2.824560644640872e-12
3.5e-05,6.766583235097955e-06,3.5720970363700652e-12
4e-05,8.106473452664987e-06,4.5138607456407985e-12
4.5e-05,9.703916829378466e-06,5.69935396237222e-12
5e-05,1.16068595924635e-05,7.190443325695061e-12
5.5e-05,1.3871868412824403e-05,9.064383458425286e-12
6e-05,1.6565622277513238e-05,1.1417563508939617e-11
6.5e-05,1.9766651845221707e-05,1.4370145545721802e-11
7e-05,2.3567365427452458e-05,1.807180210033423e-11
7.5e-05,2.8076406599023016e-05,2.2708807128736227e-11
8e-05,3.3421395125225566e-05,2.8512791994353778e-11
8.5e-05,3.9752110506014416e-05,3.5771547987807285e-11
9e-05,4.724418609915342e-05,4.4842342066846396e-11
9.5e-05,5.61033916272615e-05,5.6168316157497485e-11
0.0001,6.65705930460926e-05,7.029866639815111e-11
0.000105,7.892749141779042e-05,8.791345182044658e-11
0.00011,9.350325677583481e-05,1.0985406778255652e-10
0.000115,0.00011068218919048744,1.3716064477526366e-10
0.00012,0.0001309125575686805,1.7111790613855797e-10
0.000125,0.00015471678739789987,2.1331134850286206e-10
0.00013,0.00018270319194264894,2.656960080778846e-10
0.000135,0.00021557946762476804,3.3068055822068157e-10
0.00014,0.00025416820379549186,4.1123006571628595e-10
0.000145,0.00029942469019955643,5.109914348321749e-10
0.00015,0.00035245734253642704,6.344464132355246e-10
0.000155,0.0004145511080741084,7.870980506185692e-10
0.00016,0.0004871942597392125,9.756977230783508e-10
0.000165,0.0005721090390076827,1.2085213040352406e-09
0.00017,0.000671286665812166,1.4957048233666742e-09
0.000175,0.0007870272981700077,1.8496520669807898e-09
0.00018,0.0009219855959756295,2.2855290962241804e-09
0.000185,0.0010792226230983382,2.821863689600604e-09
0.00019,0.0012622649103439586,3.4812713220488656e-09
0.000195,0.0014751715997910447,4.291333610286974e-09
0.0002,0.001722610699377553,5.285660297235538e-09
0.000205,0.002009945596324922,6.5051719784433486e-09
0.00021,0.00234333311004149,7.999648070304271e-09
0.000215,0.002729834510603727,9.829593197221143e-09
0.00022,0.0031775410888937356,1.2068485483723805e-08
0.000225,0.0036957160401579073,1.480548247241165e-08
0.00023,0.004294954615390479,1.8148674894901235e-08
0.000235,0.0049873647058412025,2.2228995705167408e-08
0.00024,0.005786770256462812,2.720491211608511e-08
0.000245,0.006708940155666546,3.326805241356813e-08
0.00025,0.007771845522810953,4.06499477040688e-08
0.000255,0.008995948612919063,4.963010223298567e-08
0.00026,0.010404526881749122,6.054564537038808e-08
0.000265,0.012024036105108077,7.380286481616507e-08
0.00027,0.013884516825785585,8.989097521425153e-08
0.000275,0.01602004881129678,1.0939854056038531e-07
0.00028,0.018469258647336565,1.330330441342982e-07
0.000285,0.021275886067032783,1.6164418803188204e-07
0.00029,0.024489415126247076,1.9625160785098418e-07
0.000295,0.028165776881768752,2.380778091635171e-07
0.0003,0.03236813081362485,2.8858727393269553e-07
0.000305,0.037167732856143956,3.4953285028904983e-07
0.00031,0.042644898565943085,4.230107318381501e-07
0.000315,0.048890070659583965,5.115255572799849e-07
0.00032,0.05600500089996108,6.180674225598496e-07
0.000325,0.06410405709899002,7.46202901763401e-07
0.00033,0.07331566683501743,9.001825260645768e-07
0.000335,0.08378391035637549,1.0850675797298686e-06
0.00034,0.09567027605710077,1.3068795470407367e-06
0.000345,0.10915559286598685,1.572776093790475e-06
0.00035,0.12444215488436079,1.8912581028844274e-06
0.000355,0.14175605463919208,2.2724130182015994e-06
0.00036,0.16134974238369104,2.7282005986795523e-06
0.000365,0.18350482997410644,3.272788161927506e-06
0.00037,0.20853515897489283,3.922943522115854e-06
0.000375,0.23679015378992485,4.698495121442387e-06
0.00038,0.26865848177926205,5.622870341907593e-06
0.000385,0.30457204349239664,6.723724691266099e-06
0.00039,0.34501031732233406,8.033676514136356e-06
0.000395,0.3905050840514929,9.591164120412014e-06
0.0004,0.44164555791040444,1.144144478666514e-05
0.000405,0.4990839518925438,1.363775801519764e-05
0.00041,0.5635415061510115,1.6242678778048168e-05
0.000415,0.6358150093316214,1.9329690283648567e-05
0.00042,0.7167838436574652,2.2985010142360802e-05
0.000425,0.8074175854556767,2.73097087412899e-05
0.00043,0.9087841935906077,3.242216424374149e-05
0.000435,1.022058818919472,3.84609049881949e-05
0.00044,1.1485332683966478,4.558789726867913e-05
0.000445,1.2896261577989234,5.3992344636192123e-05
0.00045,1.4468937872031356,6.38950740835745e-05
0.000455,1.6220417732950037,7.555359489046492e-05
0.00046,1.816937472297845,8.926792765017889e-05
0.000465,2.033623226755014,0.0001053873142303811
0.00047,2.274330468552319,0.00012431793430345403
0.000475,2.541494709397261,0.00014653177080642895
0.00048,2.837771448450754,0.00017257678545785446
0.000485,3.166053024903445,0.0002030885864930481
0.00049,3.5294864409722755,0.00023880379432325685
0.000495,3.9314921780320486,0.0002805753371435445
0.0005,4.375784025360672,0.0003293899378976198
0.000505,4.866389937235252,0.00038638808676829756
0.00051,5.407673929838667,0.0004528868298395291
0.000515,6.004359024594973,0.0005304057451363808
0.00052,6.661551239118747,0.0006206965222887671
0.000525,7.384764620913933,0.0007257766120082784
0.00053,8.179947312267842,0.0008479674668718729
0.000535,9.053508627437072,0.0009899379560598012
0.00054,10.012347115195555,0.0011547536042198331
0.000545,11.06387957109995,0.0013459323790804907
0.00055,12.216070954413512,0.001567507834401832
0.000555,13.477465154514773,0.0018241005049569432
0.00056,14.85721654080264,0.0021209985491376523
0.000565,16.365122218603034,0.0024642487431651323
0.00057,18.011654901398977,0.002860759049482737
0.000575,19.80799629686853,0.0033184141114691703
0.00058,21.766070890751106,0.0038462051679167743
0.000585,23.898579998512716,0.0044543760345819245
0.00059,26.219035940189148,0.005154586967363029
0.000595,28.74179617871158,0.005960098403146124
0.0006,31.482097246523406,0.006885976770941832
0.000605,34.45608826946123,0.00794932477849025
0.00061,37.68086388077578,0.00916953880890147
0.000615,41.174496301914665,0.010568596308993651
0.00062,44.95606635037747,0.012171376316627925
0.000625,49.04569311870796,0.014006016559340279
0.00063,53.46456205263337,0.01610431086170822
0.000635,58.23495114063695,0.01850215092488607
0.00064,63.38025491200498,0.021240016889252027
0.000645,68.92500592578119,0.024363521460696994
0.00065,74.89489341926159,0.027924012773216482
0.000655,81.31677877183523,0.031979241575475104
0.00066,88.21870742832633,0.036594098767104094
0.000665,95.6299169156795,0.04184142977167379
0.00067,103.58084057808308,0.04780293271740519
0.000675,112.10310664860859,0.054570147903334504
0.00068,121.22953227039149,0.06224554655720789
0.000685,130.9941120774685,0.07094372744091496
0.00069,141.4320009448327,0.0807927304285597
0.000695,152.57949051926045,0.09193547676972363
0.0007,164.47397914721623,0.10453134635416399
0.000705,177.15393482380566,0.11875790291172779
0.00071,190.6588507975356,0.1348127787098399
0.000715,205.02919347970365,0.15291573094725702
0.00072,220.3063423247149,0.17331088268301786
0.000725,236.53252136868278,0.1962691617793237
0.00073,253.75072213839107,0.2220909519714655
0.000735,272.00461767118594,0.2511089708012529
0.00074,291.3384674187189,0.2836913897565497
0.000745,311.7970128436724,0.3202452125413869
0.00075,333.4253635587285,0.36121992795122065
0.000755,356.26887390104673,0.4071114543377358
0.00076,380.3730098833561,0.45846639310808734
0.000765,405.7832065143459,0.5158866091046987
0.00077,432.5447155362636,0.5800341560430577
0.000775,460.7024436862763,0.6516365654348493
0.00078,490.3007816501251,0.7314925175801908
0.000785,521.3834239415256,0.8204779132625375
0.00079,553.9931800084946,0.9195523647095036
0.000795,588.171776937884,1.0297661241780316
0.0008,623.9596542015853,1.1522674681678906
0.000805,661.3957509616789,1.2883105547482039
0.00081,700.5172865268365,1.4392637707811304
0.000815,741.3595346280316,1.60661858492892
0.00082,783.9555922575535,1.7919989212182392
0.000825,828.3361438909735,1.9971710665924154
0.00083,874.5292219863588,2.224054124290594
0.000835,922.5599647282178,2.474731023036496
0.00084,972.4503720546581,2.7514600898813635
0.000845,1024.2190610744226,3.0566871921102545
0.00085,1077.881022045207,3.393058450872026
0.000855,1133.4473761452437,3.7634335261174856
0.00086,1190.925136325897,4.170899469012506
0.000865,1250.3169725833322,4.6187851342232635
0.00087,1311.6209830314538,5.110676140336691
0.000875,1374.8304721956627,5.650430362173918
0.00088,1439.9337379769552,6.242193933870607
0.000885,1506.9138687578256,6.8904177363326164
0.00089,1575.7485521348192,7.599874337026468
0.000895,1646.4098967669265,8.375675344035182
0.0009,1718.8642688237205,9.223289129904817
0.000905,1793.0721445020836,10.148558874037281
0.00091,1868.9879800547658,11.157720865261364
0.000915,1946.560100738093,12.257422998756276
0.00092,2025.7306100392618,13.454743393731768
0.000925,2106.435320485955,14.757209050212543
0.00093,2188.6037072723584,16.172814454966023
0.000935,2272.1588858560667,17.710040038088295
0.00094,2357.0176145900728,19.37787037306587
0.000945,2443.0903233531194,21.185812004310257
0.00095,2530.281169030682,23.143910777274094
0.000955,2618.488118577933,25.262768537357776
0.00096,2707.6030602659334,27.55355905497606
0.000965,2797.5119435734737,30.028043025442003
0.00097,2888.094948040255,32.698581983821285
0.000975,2979.2266812431462,35.57815096669478
0.00098,3070.776405897073,38.68034974493106
0.000985,3162.6082959164814,42.019412444202686
0.00099,3254.58172110362,45.61021536318385
0.000995,3346.5515599567093,49.46828279323764
0.001,3438.368539916131,53.60979063804575
0.001005,3529.879604190876,58.05156762716148
0.00101,3620.9283041320846,62.81109391398291
0.001015,3711.3552159468763,67.90649684626146
0.00102,3800.998380375038,73.35654369609003
0.001025,3889.693763784958,79.18063113646316
0.00103,3977.275738984648,85.39877125308274
0.001035,4063.577583890256,92.03157388318884
0.00104,4148.431996049276,99.10022507794594
0.001045,4231.671620880026,106.62646149137795
0.00105,4313.129591364242,114.6325405071461
0.001055,4392.640076816588,123.14120592463618
0.00106,4470.03883825504,132.17564903798194
0.001065,4545.163787810173,141.7594649558216
0.00107,4617.855549540236,151.91660402583904
0.001075,4687.958018963639,162.67131824649314
0.00108,4755.318918581352,174.04810256882425
0.001085,4819.790346639692,186.07163101382926
0.00109,4881.229316379228,198.7666875556249
0.001095,4939.4982830284525,212.15809174740883
0.0011,4994.465655831688,226.27061909606078
0.001105,5046.006292449311,241.12891622199592
0.00111,5094.001973134758,256.75741087351736
0.001115,5138.341852176656,273.18021689928685
0.00112,5178.922884195383,290.4210343185039
0.001125,5215.650223000796,308.5030446658046
0.00113,5248.437590851239,327.44880182653895
0.001135,5277.207616102262,347.2801186178346
0.00114,5301.89213739594,368.017949411367
0.001145,5322.432472717095,389.68226913488195
0.00115,5338.779651830058,412.29194903093173
0.001155,5350.894610807384,435.86462959270926
0.00116,5358.748347569004,460.4165911380144
0.001165,5362.3220375650235,485.96262252290524
0.00117,5361.607108956315,512.5158885361714
0.001175,5356.60527687269,540.087796554045
0.00118,5347.3285365570055,568.6878630712001
0.001185,5333.799115433551,598.3235807587066
0.00119,5316.049384368814,629.0002867318342
0.001195,5294.1217286204455,660.7210327400934
0.0012,5268.068379194534,693.4864580182704
0.001205,5237.951205550299,727.2946655601193
0.00121,5203.8414708037135,762.1411025954311
0.001215,5165.819550785596,798.0184460661817
0.00122,5123.974618504295,834.9164939078529
0.001225,5078.404295746429,872.8220629477541
0.00123,5029.214273720524,911.7188942328032
0.001235,4976.517904806106,951.5875665945822
0.00124,4920.435767614352,992.4054192493641
0.001245,4861.095207694472,1034.1464842149865
0.00125,4798.629856332067,1076.7814293048286
0.001255,4733.179129980974,1120.2775124316206
0.00126,4664.887712948234,1164.598547920314
0.001265,4593.905026012287,1209.7048854897762
0.00127,4520.384683697168,1255.5534025176726
0.001275,4444.483942950362,1302.097510151665
0.00128,4366.363145978944,1349.2871737731214
0.001285,4286.1851599880965,1397.0689482570913
0.00129,4204.114816538299,1445.3860284046284
0.001295,4120.318353193008,1494.1783148508487
0.0013,4034.9628600678175,1543.3824956749354
0.001305,3948.2157338161355,1592.9321438567654
0.00131,3860.244141495602,1642.7578306396597
0.001315,3771.214496655151,1692.787254770281
0.00132,3681.2919498655933,1742.9453874954818
0.001325,3590.6398957880506,1793.1546331025772
0.00133,3499.419498735651,1843.3350046946318
0.001335,3407.7892385357873,1893.4043147965801
0.00134,3315.9044783443,1943.2783802920303
0.001345,3223.9170559003874,1992.871241095091
0.00135,3131.974899543186,2042.095391867264
0.001355,3040.2216701392636,2090.8620259970276
0.00136,2948.7964298958077,2139.081290969991
0.001365,2857.833338858667,2186.662554171072
0.00137,2767.4613797186094,2233.5146780778414
0.001375,2677.8041113747663,2279.546303726541
0.00138,2588.9794515319973,2324.6661412602607
0.001385,2501.099488440527,2368.7832663026165
0.00139,2414.270321722261,2411.80742084101
0.001395,2328.5919320699645,2453.649317251472
0.0014,2244.158079453892,2494.2209440528486
0.001405,2161.0562293262306,2533.435871942097
0.00141,2079.367506177758,2571.209558635192
0.001415,1999.166673673989,2607.4596510198694
0.00142,1920.5221404804502,2642.106283117539
0.001425,1843.4959907789864,2675.0723683522956
0.00143,1768.1440383796469,2706.2838846352724
0.001435,1694.5159032459069,2735.670150792632
0.00144,1622.655109175062,2763.164092895269
0.001445,1552.5992013105972,2788.702499087753
0.00145,1484.3798821092746,2812.2262615629247
0.001455,1418.0231643424338,2833.6806043867296
0.00146,1353.5495396786043,2853.015295944903
0.001465,1290.9741613723907,2870.184844858698
0.00147,1230.307039572914,2885.1486783004225
0.001475,1171.5532477630175,2897.871301730665
0.00148,1114.7131388478615,2908.3224391770727
0.001485,1059.7825694278424,2916.4771532787654
0.00149,1006.7531308154464,2922.3159444302105
0.001495,955.6123853881307,2925.8248284728866
0.0015,906.3441069090416,2926.995392501474
0.001505,858.928523493623,2925.8248284728866
0.00151,813.3425619523808,2922.3159444302105
0.001515,769.5600922975096,2916.4771532787654
0.00152,727.552171263134,2908.3224391770727
0.001525,687.2872837548725,2897.871301730665
0.00153,648.7315812136294,2885.148678300423
0.001535,611.8491159503126,2870.1848448586984
0.00154,576.602070581945,2853.0152959449038
0.001545,542.9509817746352,2833.68060438673
0.00155,510.85495757474075,2812.2262615629256
0.001555,480.27188768545346,2788.702499087753
0.00156,451.1586461216176,2763.164092895269
0.001565,423.47128575027125,2735.670150792632
0.00157,397.1652242977064,2706.2838846352724
0.001575,372.19542147538493,2675.0723683522956
0.00158,348.5165469463895,2642.106283117539
0.001585,326.0831389209153,2607.4596510198694
0.00159,304.849753233283,2571.209558635192
0.001595,284.7711028138373,2533.435871942097
0.0016,265.80218752662364,2494.2209440528486
0.001605,247.89841439776285,2453.649317251472
0.00161,231.01570830978335,2411.80742084101
0.001615,215.11061328374842,2368.783266302619
0.00162,200.14038451371775,2324.666141260263
0.001625,186.06307135692617,2279.546303726543
0.00163,172.83759151796326,2233.5146780778437
0.001635,160.42379669631188,2186.662554171074
0.00164,148.78252999382013,2139.081290969991
0.001645,137.87567540217702,2090.8620259970276
0.00165,127.66619971030222,2042.095391867264
0.001655,118.11818718789867,1992.871241095091
0.00166,109.19686741434666,1943.2783802920303
0.001665,100.86863663188026,1893.4043147965801
0.00167,93.101073008619,1843.3350046946318
0.001675,85.86294620088371,1793.1546331025772
0.00168,79.12422160529955,1742.9453874954818
0.001685,72.85605968987755,1692.787254770281
0.00169,67.03081078957216,1642.7578306396597
0.001695,61.62200574612287,1592.9321438567672
0.0017,56.60434276433756,1543.3824956749377
0.001705,51.953670847712644,1494.1783148508507
0.00171,47.646970165487424,1445.3860284046305
0.001715,43.662329691166725,1397.0689482570936
0.00172,39.97892243938988,1349.2871737731214
0.001725,36.576978613912566,1302.097510151665
0.00173,33.437756964651854,1255.5534025176726
0.001735,30.543514636303815,1209.7048854897762
0.00174,27.877475775210616,1164.598547920314
0.001745,25.423799145002636,1120.2775124316206
0.00175,23.167544985277804,1076.7814293048286
0.001755,21.09464133125912,1034.1464842149865
0.00176,19.191849996172717,992.4054192493641
0.001765,17.44673240205567,951.5875665945822
0.00177,15.847615428983088,911.7188942328032
0.001775,14.383557437330264,872.8220629477541
0.00178,13.044314602774543,834.9164939078544
0.001785,11.820307689316527,798.0184460661832
0.00179,10.702589371748127,762.1411025954326
0.001795,9.682812205731018,727.2946655601207
0.0018,8.753197331028286,693.486458018272
0.001805,7.906503981474286,660.7210327400934
0.00181,7.135999863986545,629.0002867318342
0.001815,6.435432458346186,598.3235807587066
0.00182,5.799001279587511,568.6878630712001
0.001825,5.221331135661469,540.087796554045
0.00183,4.697446404549237,512.5158885361714
0.001835,4.222746347206903,485.96262252290524
0.00184,3.7929814655916125,460.4165911380144
0.001845,3.4042309085485467,435.86462959270926
0.00185,3.0528809224939244,412.29194903093173
0.001855,2.7356043385986317,389.68226913488195
0.00186,2.449341083524707,368.017949411367
0.001865,2.1912796966732437,347.2801186178355
0.00187,1.9588398333307209,327.44880182653986
0.001875,1.7496557300281677,308.5030446658055
0.00188,1.561560605817214,290.42103431850467
0.001885,1.3925719709918667,273.18021689928685
0.00189,1.240877813012774,256.75741087351736
0.001895,1.1048236279892667,241.12891622199592
0.0019,0.9829002650164977,226.27061909606078
0.001905,0.8737325499173791,212.15809174740883
0.00191,0.7760686544762595,198.7666875556249
0.001915,0.6887701770425737,186.07163101382926
0.00192,0.6108029004040356,174.04810256882425
0.001925,0.5412281930526318,162.67131824649314
0.00193,0.4791950203703993,151.91660402583904
0.001935,0.42393253282125487,141.7594649558216
0.00194,0.37474319893018687,132.17564903798194
0.001945,0.3309964516403027,123.14120592463655
0.00195,0.2921228175444131,114.63254050714649
0.001955,0.2576084994726165,106.62646149137795
0.00196,0.2269903839657256,99.10022507794625
0.001965,0.19985144626152565,92.03157388318884
0.00197,0.17581652655372446,85.39877125308274
0.001975,0.15454845244010584,79.18063113646292
0.00198,0.13574448364643232,73.35654369609003
0.001985,0.11913305628620376,67.90649684626172
0.00199,0.10447080508551224,62.81109391398291
0.001995,0.09153984315923674,58.0515676271617
0.002,0.08014528006359745,53.60979063804575
0.002005,0.0701129599651147,49.46828279323782
0.00201,0.06128740285258517,45.61021536318385
0.002015,0.053529932773198556,42.01941244420283
0.00202,0.046716978093009655,38.68034974493106
